matrix_version,route_id,provider,offering,adapter_id,protocol,capability,support,action,requires_explicit_degradation,limitations,evidence_digest,code_paths,test_evidence
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,file_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,function_error_result,partial,degraded,true,portable is_error is unavailable; explicit degradation preserves output text,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,hosted_tools,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,parallel_tool_calling,unsupported,rejected,false,portable parallel-tool control is not approved in this slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,prompt_caching,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,provider_continuation,unsupported,rejected,false,portable Chat input cannot preserve reasoning_content history,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,realtime,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,reasoning,compatible,transformed,false,,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,reasoning_summary,compatible,transformed,false,provider reasoning output is preserved without summary-style control,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,server_state,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,streaming,compatible,transformed,false,,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,structured_output,partial,degraded,true,JSON Object only and the prompt must explicitly request JSON,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
